file_name,file_path,status,stage,document_type,internal_code,total_chunks,claude_calls,input_tokens,output_tokens,total_tokens,markdown_path,chunks_path,usage_path,error_message
大數據Hadoop平台管理辦法.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/大數據Hadoop平台管理辦法.docx,parsed_no_db,claude_chunking,system_manual,CLAUDE-BATCH-6CDF26D94FF1,12,1,2144,3324,5468,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-6CDF26D94FF1__大數據Hadoop平台管理辦法__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-6CDF26D94FF1__大數據Hadoop平台管理辦法__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-6CDF26D94FF1__大數據Hadoop平台管理辦法__docx.usage.json,
客戶服務歷程事件以概括性文字提供予業務員有無違反個資法之虞.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/客戶服務歷程事件以概括性文字提供予業務員有無違反個資法之虞.docx,parsed_no_db,claude_chunking,legal_opinion,CLAUDE-BATCH-511E4640C186,4,1,1193,1477,2670,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-511E4640C186__客戶服務歷程事件以概括性文字提供予業務員有無違反個資法之虞__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-511E4640C186__客戶服務歷程事件以概括性文字提供予業務員有無違反個資法之虞__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-511E4640C186__客戶服務歷程事件以概括性文字提供予業務員有無違反個資法之虞__docx.usage.json,
客戶服務歷程事件以概括性文字提供予業務員有無違反個資法之虞.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/客戶服務歷程事件以概括性文字提供予業務員有無違反個資法之虞.pdf,skipped_duplicate_source,file_discovery,,,0,0,0,0,0,,,,matching DOCX exists; skipped PDF duplicate source
客戶資料共享政策 (1).docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/客戶資料共享政策 (1).docx,parsed_no_db,claude_chunking,internal_rule,CLAUDE-BATCH-8345087155A2,8,1,2345,3164,5509,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-8345087155A2__客戶資料共享政策 (1)__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-8345087155A2__客戶資料共享政策 (1)__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-8345087155A2__客戶資料共享政策 (1)__docx.usage.json,
數據平台使用管理要點.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/數據平台使用管理要點.docx,parsed_no_db,claude_chunking,system_manual,CLAUDE-BATCH-511D1866BAA5,36,1,4401,8268,12669,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-511D1866BAA5__數據平台使用管理要點__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-511D1866BAA5__數據平台使用管理要點__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-511D1866BAA5__數據平台使用管理要點__docx.usage.json,
數據暨人工智慧發展部-內部控制作業之處理程序 (1).docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/數據暨人工智慧發展部-內部控制作業之處理程序 (1).docx,parsed_no_db,claude_chunking,internal_rule,CLAUDE-BATCH-09059AFF0822,8,1,3515,4609,8124,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-09059AFF0822__數據暨人工智慧發展部-內部控制作業之處理程序 (1)__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-09059AFF0822__數據暨人工智慧發展部-內部控制作業之處理程序 (1)__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-09059AFF0822__數據暨人工智慧發展部-內部控制作業之處理程序 (1)__docx.usage.json,
數據暨人工智慧發展部-自行查核工作底稿.xlsx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/數據暨人工智慧發展部-自行查核工作底稿.xlsx,skipped_unsupported,file_discovery,,,0,0,0,0,0,,,,unsupported file extension: .xlsx
於NPS活動頁蒐集COOKIE模式之適法性.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/於NPS活動頁蒐集COOKIE模式之適法性.docx,parsed_no_db,claude_chunking,legal_opinion,CLAUDE-BATCH-285D2374AB11,2,1,838,866,1704,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-285D2374AB11__於NPS活動頁蒐集COOKIE模式之適法性__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-285D2374AB11__於NPS活動頁蒐集COOKIE模式之適法性__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-285D2374AB11__於NPS活動頁蒐集COOKIE模式之適法性__docx.usage.json,
於NPS活動頁蒐集COOKIE模式之適法性.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/於NPS活動頁蒐集COOKIE模式之適法性.pdf,skipped_duplicate_source,file_discovery,,,0,0,0,0,0,,,,matching DOCX exists; skipped PDF duplicate source
查詢業務員自行輸入BOX APP客戶資料之適法性.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/查詢業務員自行輸入BOX APP客戶資料之適法性.docx,parsed_no_db,claude_chunking,legal_opinion,CLAUDE-BATCH-46F15FA2DFFA,5,1,1180,1601,2781,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-46F15FA2DFFA__查詢業務員自行輸入BOX APP客戶資料之適法性__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-46F15FA2DFFA__查詢業務員自行輸入BOX APP客戶資料之適法性__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-46F15FA2DFFA__查詢業務員自行輸入BOX APP客戶資料之適法性__docx.usage.json,
查詢業務員自行輸入BOX APP客戶資料之適法性.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/查詢業務員自行輸入BOX APP客戶資料之適法性.pdf,skipped_duplicate_source,file_discovery,,,0,0,0,0,0,,,,matching DOCX exists; skipped PDF duplicate source
模糊化住院註記是否屬特種個資疑義 (002).pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/模糊化住院註記是否屬特種個資疑義 (002).pdf,failed,claude_chunking,legal_opinion,CLAUDE-BATCH-347CE1B6ED22,0,0,0,0,0,,,,"Claude returned invalid JSON: Expecting ',' delimiter: line 38 column 74 (char 1721)"
機器學習平台使用管理要點.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/機器學習平台使用管理要點.docx,parsed_no_db,claude_chunking,system_manual,CLAUDE-BATCH-262A722B62D5,11,1,2154,3118,5272,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-262A722B62D5__機器學習平台使用管理要點__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-262A722B62D5__機器學習平台使用管理要點__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-262A722B62D5__機器學習平台使用管理要點__docx.usage.json,
確認Smart Event 簽到系統與國泰人壽APP串接適法性問題.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/確認Smart Event 簽到系統與國泰人壽APP串接適法性問題.docx,parsed_no_db,claude_chunking,legal_opinion,CLAUDE-BATCH-1B7FE8FA48C7,4,1,1617,1915,3532,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-1B7FE8FA48C7__確認Smart Event 簽到系統與國泰人壽APP串接適法性問題__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-1B7FE8FA48C7__確認Smart Event 簽到系統與國泰人壽APP串接適法性問題__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-1B7FE8FA48C7__確認Smart Event 簽到系統與國泰人壽APP串接適法性問題__docx.usage.json,
確認Smart Event 簽到系統與國泰人壽APP串接適法性問題.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/確認Smart Event 簽到系統與國泰人壽APP串接適法性問題.pdf,skipped_duplicate_source,file_discovery,,,0,0,0,0,0,,,,matching DOCX exists; skipped PDF duplicate source
評估將大腹翁小腹婆活動參加者資料用於其他數據分析研究之適法性.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/評估將大腹翁小腹婆活動參加者資料用於其他數據分析研究之適法性.docx,parsed_no_db,claude_chunking,legal_opinion,CLAUDE-BATCH-F965C52D51F3,4,1,1354,1537,2891,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-F965C52D51F3__評估將大腹翁小腹婆活動參加者資料用於其他數據分析研究之適法性__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-F965C52D51F3__評估將大腹翁小腹婆活動參加者資料用於其他數據分析研究之適法性__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-F965C52D51F3__評估將大腹翁小腹婆活動參加者資料用於其他數據分析研究之適法性__docx.usage.json,
評估將大腹翁小腹婆活動參加者資料用於其他數據分析研究之適法性.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/評估將大腹翁小腹婆活動參加者資料用於其他數據分析研究之適法性.pdf,skipped_duplicate_source,file_discovery,,,0,0,0,0,0,,,,matching DOCX exists; skipped PDF duplicate source
評估蒐集FB公開資料及運用客戶資料抓取FB ID適法性.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/評估蒐集FB公開資料及運用客戶資料抓取FB ID適法性.docx,parsed_no_db,claude_chunking,legal_opinion,CLAUDE-BATCH-18B9AD22BA54,5,1,1156,1527,2683,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-18B9AD22BA54__評估蒐集FB公開資料及運用客戶資料抓取FB ID適法性__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-18B9AD22BA54__評估蒐集FB公開資料及運用客戶資料抓取FB ID適法性__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-18B9AD22BA54__評估蒐集FB公開資料及運用客戶資料抓取FB ID適法性__docx.usage.json,
